REGION;PROVINCIA;COMUNA;DC;AREA;ZONA;NOM_URBANO;CAT;REGION_15R;PROVINCIA_15R;COMUNA_15R
13;131;13127;8;1;2;RECOLETA;1;13;131;13127
13;131;13127;8;1;3;RECOLETA;1;13;131;13127
13;131;13127;9;1;1;RECOLETA;1;13;131;13127
13;131;13127;9;1;2;RECOLETA;1;13;131;13127
13;131;13127;9;1;3;RECOLETA;1;13;131;13127
13;131;13127;10;1;1;RECOLETA;1;13;131;13127
13;131;13127;10;1;2;RECOLETA;1;13;131;13127
13;131;13127;11;1;1;RECOLETA;1;13;131;13127
13;131;13127;11;1;2;RECOLETA;1;13;131;13127
13;131;13127;11;1;3;RECOLETA;1;13;131;13127
13;131;13127;11;1;4;RECOLETA;1;13;131;13127
13;131;13127;11;1;5;RECOLETA;1;13;131;13127
13;131;13127;12;1;1;RECOLETA;1;13;131;13127
13;131;13127;12;1;2;RECOLETA;1;13;131;13127
13;131;13127;12;1;3;RECOLETA;1;13;131;13127
13;131;13127;13;1;1;RECOLETA;1;13;131;13127
13;131;13127;13;1;2;RECOLETA;1;13;131;13127
13;131;13127;13;1;3;RECOLETA;1;13;131;13127
13;131;13128;1;1;1;RENCA;1;13;131;13128
13;131;13128;1;1;2;RENCA;1;13;131;13128
13;131;13128;1;1;3;RENCA;1;13;131;13128
13;131;13128;2;1;1;RENCA;1;13;131;13128
13;131;13128;2;1;2;RENCA;1;13;131;13128
13;131;13128;2;1;3;RENCA;1;13;131;13128
13;131;13128;2;1;4;RENCA;1;13;131;13128
13;131;13128;2;1;5;RENCA;1;13;131;13128
13;131;13128;2;1;6;RENCA;1;13;131;13128
13;131;13128;3;1;1;RENCA;1;13;131;13128
13;131;13128;3;1;2;RENCA;1;13;131;13128
13;131;13128;3;1;3;RENCA;1;13;131;13128
13;131;13128;4;1;1;RENCA;1;13;131;13128
13;131;13128;4;1;2;RENCA;1;13;131;13128
13;131;13128;4;1;3;RENCA;1;13;131;13128
13;131;13128;5;1;1;RENCA;1;13;131;13128
13;131;13128;5;1;2;RENCA;1;13;131;13128
13;131;13128;6;1;1;RENCA;1;13;131;13128
13;131;13128;6;1;2;RENCA;1;13;131;13128
13;131;13128;6;1;3;RENCA;1;13;131;13128
13;131;13128;6;1;4;RENCA;1;13;131;13128
13;131;13128;6;1;5;RENCA;1;13;131;13128
13;131;13128;7;1;1;RENCA;1;13;131;13128
13;131;13128;7;1;2;RENCA;1;13;131;13128
13;131;13128;7;1;3;RENCA;1;13;131;13128
13;131;13128;7;1;4;RENCA;1;13;131;13128
13;131;13128;7;1;5;RENCA;1;13;131;13128
13;131;13128;7;1;6;RENCA;1;13;131;13128
13;131;13128;7;1;7;RENCA;1;13;131;13128
13;131;13128;7;1;8;RENCA;1;13;131;13128
13;131;13128;7;1;9;RENCA;1;13;131;13128
13;131;13128;7;1;10;RENCA;1;13;131;13128
13;131;13128;8;1;1;RENCA;1;13;131;13128
13;131;13128;8;1;2;RENCA;1;13;131;13128
13;131;13128;8;1;3;RENCA;1;13;131;13128
13;131;13128;8;1;4;RENCA;1;13;131;13128
13;131;13128;9;1;1;RENCA;1;13;131;13128
13;131;13128;9;1;2;RENCA;1;13;131;13128
13;131;13128;9;1;3;RENCA;1;13;131;13128
13;131;13128;9;1;4;RENCA;1;13;131;13128
13;131;13128;10;1;1;RENCA;1;13;131;13128
13;131;13128;10;1;2;RENCA;1;13;131;13128
13;131;13128;10;1;3;RENCA;1;13;131;13128
13;131;13128;10;1;4;RENCA;1;13;131;13128
13;131;13129;1;1;1;SAN JOAQUÍN;1;13;131;13129
13;131;13129;1;1;2;SAN JOAQUÍN;1;13;131;13129
13;131;13129;1;1;3;SAN JOAQUÍN;1;13;131;13129
13;131;13129;1;1;4;SAN JOAQUÍN;1;13;131;13129
13;131;13129;1;1;5;SAN JOAQUÍN;1;13;131;13129
13;131;13129;2;1;1;SAN JOAQUÍN;1;13;131;13129
13;131;13129;2;1;2;SAN JOAQUÍN;1;13;131;13129
13;131;13129;2;1;3;SAN JOAQUÍN;1;13;131;13129
13;131;13129;2;1;4;SAN JOAQUÍN;1;13;131;13129
13;131;13129;3;1;1;SAN JOAQUÍN;1;13;131;13129
13;131;13129;3;1;2;SAN JOAQUÍN;1;13;131;13129
13;131;13129;3;1;3;SAN JOAQUÍN;1;13;131;13129
13;131;13129;3;1;4;SAN JOAQUÍN;1;13;131;13129
13;131;13129;4;1;1;SAN JOAQUÍN;1;13;131;13129
13;131;13129;4;1;2;SAN JOAQUÍN;1;13;131;13129
13;131;13129;4;1;3;SAN JOAQUÍN;1;13;131;13129
13;131;13129;5;1;1;SAN JOAQUÍN;1;13;131;13129
13;131;13129;5;1;2;SAN JOAQUÍN;1;13;131;13129
13;131;13129;5;1;3;SAN JOAQUÍN;1;13;131;13129
13;131;13129;5;1;4;SAN JOAQUÍN;1;13;131;13129
13;131;13129;6;1;1;SAN JOAQUÍN;1;13;131;13129
13;131;13129;6;1;2;SAN JOAQUÍN;1;13;131;13129
